N,t,save_power,average_intersection
87,29*3,0.655172414,0.118906064
87,87*1,0,1
88,1*88,0.488636364,0.261492769
88,2*44,0.727272727,0.074380165
88,4*22,0.829545455,0.029054752
88,8*11,0.852272727,0.021823347
88,11*8,0.829545455,0.029054752
88,22*4,0.727272727,0.074380165
88,44*2,0.488636364,0.261492769
88,88*1,0,1
89,1*89,0.494382022,0.255649539
89,89*1,0,1
90,1*90,0.488888889,0.261234568
90,2*45,0.733333333,0.071111111
90,3*30,0.8,0.04
90,5*18,0.844444444,0.024197531
90,6*15,0.855555556,0.020864198
90,9*10,0.844444444,0.024197531
90,10*9,0.844444444,0.024197531
90,15*6,0.8,0.04
90,18*5,0.777777778,0.049382716
90,30*3,0.655555556,0.118641975
90,45*2,0.488888889,0.261234568
90,90*1,0,1
91,1*91,0.494505495,0.255524695
91,7*13,0.857142857,0.020408163
91,13*7,0.824175824,0.030914141
91,91*1,0,1
92,1*92,0.489130435,0.260987713
92,2*46,0.72826087,0.073842155
92,4*23,0.836956522,0.026583176
92,23*4,0.72826087,0.073842155
92,46*2,0.489130435,0.260987713
92,92*1,0,1
93,1*93,0.494623656,0.255405249
93,3*31,0.806451613,0.037460978
93,31*3,0.655913978,0.11839519
93,93*1,0,1
94,1*94,0.489361702,0.260751471
94,2*47,0.734042553,0.070733364
94,47*2,0.489361702,0.260751471
94,94*1,0,1
95,1*95,0.494736842,0.255290859
95,5*19,0.852631579,0.021717452
95,19*5,0.778947368,0.048864266
95,95*1,0,1
96,1*96,0.489583333,0.260525174
96,2*48,0.729166667,0.073350694
96,3*32,0.802083333,0.039171007
96,4*24,0.833333333,0.027777778
96,6*16,0.854166667,0.021267361
96,8*12,0.854166667,0.021267361
96,12*8,0.833333333,0.027777778
96,16*6,0.802083333,0.039171007
96,24*4,0.729166667,0.073350694
96,32*3,0.65625,0.118164063
96,48*2,0.489583333,0.260525174
96,96*1,0,1
97,1*97,0.494845361,0.255181209
97,97*1,0,1
98,1*98,0.489795918,0.260308205
98,2*49,0.734693878,0.070387339
98,7*14,0.857142857,0.020408163
98,14*7,0.826530612,0.030091628
98,49*2,0.489795918,0.260308205
98,98*1,0,1
99,1*99,0.494949495,0.255076013
99,3*33,0.808080808,0.036832976
99,9*11,0.858585859,0.019997959
99,11*9,0.848484848,0.022956841
99,33*3,0.656565657,0.117947148
99,99*1,0,1
